Rep	Year	RepSeason	x	y	Species	NInd	Nfemales_stage1	Nmales_stage1	NJuvFemales	NJuvMales
0	1	0	2	17	0	12	6	6	19	20
0	1	0	3	17	0	15	8	7	33	21
0	1	0	4	17	0	13	3	10	11	6
0	1	0	5	17	0	13	4	9	13	14
0	1	0	6	17	0	21	10	11	28	27
0	1	0	7	17	0	11	5	6	9	14
0	1	0	8	17	0	9	5	4	16	20
0	1	0	9	17	0	6	4	2	18	10
0	1	0	10	17	0	14	6	8	12	28
0	1	0	11	17	0	10	3	7	8	9
0	1	0	12	17	0	7	5	2	13	23
0	1	0	13	17	0	19	10	9	39	31
0	1	0	14	17	0	11	7	4	16	18
0	1	0	15	17	0	14	5	9	11	9
0	1	0	16	17	0	13	10	3	43	31
0	1	0	17	17	0	15	5	10	28	15
0	1	0	18	17	0	13	7	6	17	20
0	1	0	19	17	0	8	3	5	7	9
0	1	0	0	16	0	9	5	4	12	18
0	1	0	1	16	0	15	5	10	16	18
0	1	0	2	16	0	13	6	7	17	22
0	1	0	3	16	0	9	7	2	19	17
0	1	0	4	16	0	17	8	9	27	21
0	1	0	5	16	0	14	5	9	8	23
0	1	0	6	16	0	24	11	13	24	35
0	1	0	7	16	0	14	8	6	24	27
0	1	0	8	16	0	18	7	11	27	24
0	1	0	9	16	0	15	7	8	12	17
0	1	0	10	16	0	15	5	10	16	9
0	1	0	11	16	0	10	6	4	18	20
0	1	0	12	16	0	11	7	4	27	16
0	1	0	13	16	0	22	11	11	42	37
0	1	0	14	16	0	3	2	1	4	10
0	1	0	15	16	0	9	6	3	23	29
0	1	0	16	16	0	19	11	8	29	34
0	1	0	17	16	0	16	10	6	37	28
0	1	0	18	16	0	9	4	5	12	12
0	1	0	19	16	0	13	8	5	27	28
0	1	0	0	15	0	15	9	6	26	24
0	1	0	1	15	0	13	6	7	19	26
0	1	0	2	15	0	12	8	4	20	23
0	1	0	3	15	0	6	5	1	11	9
0	1	0	4	15	0	14	3	11	9	7
0	1	0	5	15	0	11	8	3	24	23
0	1	0	6	15	0	13	6	7	21	23
0	1	0	7	15	0	18	13	5	41	40
0	1	0	8	15	0	19	7	12	33	20
0	1	0	9	15	0	7	2	5	10	9
0	1	0	10	15	0	11	4	7	12	13
0	1	0	11	15	0	21	9	12	22	22
0	1	0	12	15	0	11	4	7	13	10
0	1	0	13	15	0	13	9	4	28	31
0	1	0	14	15	0	9	3	6	8	4
0	1	0	15	15	0	6	1	5	3	1
0	1	0	16	15	0	7	3	4	9	14
0	1	0	17	15	0	12	8	4	29	36
0	1	0	18	15	0	12	6	6	15	20
0	1	0	19	15	0	10	4	6	14	12
0	1	0	0	14	0	9	4	5	8	11
0	1	0	1	14	0	18	12	6	27	34
0	1	0	2	14	0	14	9	5	18	29
0	1	0	3	14	0	16	5	11	13	10
0	1	0	4	14	0	10	4	6	12	9
0	1	0	5	14	0	9	3	6	6	5
0	1	0	6	14	0	9	5	4	17	11
0	1	0	7	14	0	12	2	10	3	8
0	1	0	8	14	0	13	6	7	15	17
0	1	0	9	14	0	11	5	6	21	13
0	1	0	10	14	0	10	5	5	15	20
0	1	0	11	14	0	20	13	7	36	39
0	1	0	12	14	0	11	4	7	8	15
0	1	0	13	14	0	13	5	8	12	14
0	1	0	14	14	0	8	4	4	11	14
0	1	0	15	14	0	6	3	3	11	7
0	1	0	16	14	0	12	7	5	22	22
0	1	0	17	14	0	12	6	6	19	23
0	1	0	18	14	0	13	8	5	30	25
0	1	0	19	14	0	17	8	9	26	27
0	1	0	0	13	0	15	8	7	31	31
0	1	0	1	13	0	8	3	5	7	12
0	1	0	2	13	0	8	5	3	14	14
0	1	0	3	13	0	8	5	3	18	19
0	1	0	4	13	0	13	6	7	17	19
0	1	0	5	13	0	10	6	4	21	21
0	1	0	6	13	0	13	6	7	16	19
0	1	0	7	13	0	13	6	7	21	21
0	1	0	8	13	0	10	5	5	13	17
0	1	0	9	13	0	12	9	3	27	23
0	1	0	10	13	0	15	11	4	35	37
0	1	0	11	13	0	18	11	7	30	36
0	1	0	12	13	0	9	6	3	13	18
0	1	0	13	13	0	13	8	5	34	27
0	1	0	14	13	0	8	3	5	8	7
0	1	0	15	13	0	13	8	5	28	17
0	1	0	16	13	0	10	4	6	10	9
0	1	0	17	13	0	15	7	8	15	10
0	1	0	18	13	0	17	11	6	40	23
0	1	0	19	13	0	15	7	8	32	24
0	1	0	0	12	0	23	12	11	40	30
0	1	0	1	12	0	15	4	11	15	11
0	1	0	2	12	0	12	6	6	14	20
0	1	0	3	12	0	8	4	4	15	9
0	1	0	4	12	0	12	4	8	11	17
0	1	0	5	12	0	9	3	6	8	5
0	1	0	6	12	0	9	4	5	12	14
0	1	0	7	12	0	8	3	5	9	11
0	1	0	8	12	0	15	8	7	20	19
0	1	0	9	12	0	17	5	12	11	14
0	1	0	10	12	0	11	6	5	12	17
0	1	0	11	12	0	11	5	6	17	10
